nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,status,objective_value,achieved_GHG
54,60,60,119,284.913672,0.015531269018538296,0.0851710420101881,greedy_done,70.18356632554752,284.89488300000005
54,60,80,139,284.62503000000004,0.02095560694579035,0.09890579106286168,greedy_done,70.46675577322036,284.6048639999999
54,60,100,159,284.41707900000006,0.02803776098880917,0.11273018596693873,greedy_done,70.65527251726553,284.33851799999974
54,45,20,64,212.01221400000003,0.004680552054196596,0.039380581001751125,greedy_done,67.60400335767646,211.9766669999999
54,45,40,84,211.89080100000004,0.007754803984425962,0.052427676040679216,greedy_done,68.19942927728015,211.825704
54,45,60,104,211.97301900000002,0.012017093016766012,0.06528724590316415,greedy_done,68.57709822354637,211.89602700000006
54,45,80,124,212.05096200000003,0.016697555081918836,0.07847415201831609,greedy_done,68.86991301985317,211.99114199999994
54,45,100,144,211.803996,0.022767429938539863,0.09074502100702375,greedy_done,69.05785928064722,211.76586300000002
54,30,20,49,140.257068,0.0027342659886926413,0.025803625001572073,greedy_done,65.31885984319725,140.18463000000006
54,30,40,69,139.83263399999998,0.005370651953853667,0.03669257205910981,greedy_done,66.03398122221287,139.7187060000001
54,30,60,89,139.567146,0.008802369935438037,0.047138605965301394,greedy_done,66.3839409741355,139.50964200000013
54,30,80,109,139.583682,0.012938921921886504,0.058195532066747546,greedy_done,66.63156066066402,139.5118020000001
54,30,100,129,139.769022,0.01818493101745844,0.0686955489218235,greedy_done,66.8392472186855,139.74547500000025
54,15,20,34,66.97742699999999,0.0014536890666931868,0.012802640907466412,greedy_done,61.49282416043661,66.94797000000005
54,15,40,54,66.78121199999998,0.0032498560613021255,0.021700285957194865,greedy_done,62.309822334710624,66.72781200000001
54,15,60,74,66.51276899999999,0.0062195040518417954,0.029423852916806936,greedy_done,62.58138141813518,66.47832600000001
54,15,80,94,66.31206599999999,0.009895254974253476,0.03612379601690918,greedy_done,62.7348603426937,66.29069400000004
54,15,100,114,66.02428499999999,0.014197128009982407,0.043512450996786356,greedy_done,62.886252124827514,66.00490200000002
54,5,20,24,18.734414999999995,0.0007851870032027364,0.0047792569966986775,greedy_done,55.299250297394096,18.71303700000001
54,5,40,44,18.736274999999992,0.002245984971523285,0.009268537047319114,greedy_done,55.89541530155774,18.530016000000007
54,5,60,64,18.306644999999993,0.004621646017767489,0.013411163003183901,greedy_done,56.05032073290842,18.279429
54,5,80,84,18.185231999999996,0.007853084011003375,0.017346121021546423,greedy_done,56.13843174739295,18.164301000000012
54,5,100,104,18.267449999999993,0.011807283968664706,0.02080210403073579,greedy_done,56.246217610195984,18.23757900000001
54,3,20,22,9.381371999999995,0.0007145770359784365,0.003088042954914272,greedy_done,51.952440058972165,9.297971999999998
54,3,40,42,9.382148999999995,0.0020506749860942364,0.006121917045675218,greedy_done,52.52575527789566,9.277446
54,3,60,62,8.976971999999996,0.004320495063439012,0.008822315954603255,greedy_done,52.54288006856783,8.971782000000003
54,3,80,82,8.938475999999996,0.007690329919569194,0.011375198024325073,greedy_done,52.64128010424792,8.932563
54,3,100,102,9.023576999999996,0.01155667589046061,0.014074928010813892,greedy_done,52.739247504630754,8.961972000000001
108,90,20,109,443.89862100000005,0.013061100034974515,0.08927077194675803,greedy_done,71.75127972189239,443.73238800000235
108,90,40,129,444.08396100000004,0.018561874981969595,0.10972777102142572,greedy_done,72.28707931712839,443.9987370000017
108,90,60,149,444.02907000000005,0.02405300596728921,0.1289837509393692,greedy_done,72.63644819144838,443.9102550000021
108,90,80,169,443.85223500000006,0.030854228069074452,0.14550668001174927,greedy_done,72.88851120092849,443.8481010000018
108,90,100,189,444.08871000000005,0.039302606019191444,0.16185637097805738,greedy_done,73.14906175055549,444.01943400000135
